uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
SP;BR-116;GUARULHOS;1.0;1.0;QUARTA-FEIRA;2.0;0;6;06h-08h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;MÚLTIPLA;"RETA;DECLIVE";SIM;0
CE;BR-116;PENAFORTE;1.0;1.0;QUARTA-FEIRA;2.0;0;7;06h-08h;MANHA;PLENO DIA;PISTA ESBURACADA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
PR;BR-369;CORNELIO PROCOPIO;1.0;1.0;QUARTA-FEIRA;2.0;0;8;06h-08h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;DUPLA;"RETA;ACLIVE";SIM;0
PR;BR-116;CAMPINA GRANDE DO SUL;1.0;1.0;QUARTA-FEIRA;2.0;0;11;09h-11h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
MG;BR-251;FRANCISCO SA;1.0;1.0;QUARTA-FEIRA;2.0;0;9;09h-11h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO FRONTAL;CHUVA;SIMPLES;"CURVA;DECLIVE";NÃO;0
MT;BR-070;CACERES;1.0;1.0;QUARTA-FEIRA;2.0;0;10;09h-11h;MANHA;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
RS;BR-116;TAPES;1.0;1.0;QUARTA-FEIRA;2.0;0;12;12h-14h;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;SAO JOSE;1.0;1.0;QUARTA-FEIRA;2.0;0;17;15h-17h;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
MG;BR-116;MURIAE;1.0;1.0;QUARTA-FEIRA;2.0;0;18;18h-20h;NOITE;ANOITECER;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;1
PE;BR-407;AFRANIO;1.0;1.0;QUARTA-FEIRA;2.0;0;17;15h-17h;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;"ACLIVE;CURVA";NÃO;0
SC;BR-101;CAPIVARI DE BAIXO;1.0;1.0;QUARTA-FEIRA;2.0;0;20;18h-20h;NOITE;PLENO DIA;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO COM OBJETO;GAROA/CHUVISCO;DUPLA;"CURVA;INTERSEÇÃO DE VIAS";SIM;0
MG;BR-381;RIO MANSO;1.0;1.0;QUARTA-FEIRA;2.0;0;20;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CHUVA;DUPLA;CURVA;NÃO;0
PB;BR-405;MARIZOPOLIS;1.0;1.0;QUARTA-FEIRA;2.0;0;21;21h-23h;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;SIM;0
MG;BR-116;MURIAE;2.0;1.0;QUINTA-FEIRA;5.0;1;5;03h-05h;MADRUGADA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;CÉU CLARO;SIMPLES;CURVA;NÃO;0
SC;BR-153;CONCORDIA;1.0;1.0;QUARTA-FEIRA;2.0;0;19;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;SIMPLES;"RETA;DECLIVE";NÃO;0
PR;BR-116;FAZENDA RIO GRANDE;2.0;1.0;QUINTA-FEIRA;5.0;1;7;06h-08h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;SOL;DUPLA;RETA;SIM;0
PB;BR-230;MOGEIRO;2.0;1.0;QUINTA-FEIRA;5.0;1;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
MT;BR-163;GUARANTA DO NORTE;2.0;1.0;QUINTA-FEIRA;5.0;1;6;06h-08h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;GAROA/CHUVISCO;DUPLA;"CURVA;ACLIVE";NÃO;0
PR;BR-163;CAPITAO LEONIDAS MARQUES;2.0;1.0;QUINTA-FEIRA;5.0;1;6;06h-08h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO COM OBJETO;CÉU CLARO;DUPLA;"DECLIVE;RETA";SIM;1
MG;BR-040;CONSELHEIRO LAFAIETE;2.0;1.0;QUINTA-FEIRA;5.0;1;8;06h-08h;MANHA;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;SIM;0
MT;BR-163;SINOP;2.0;1.0;QUINTA-FEIRA;5.0;1;8;06h-08h;MANHA;PLENO DIA;CHUVA;COLISÃO COM OBJETO;CHUVA;SIMPLES;RETORNO REGULAMENTADO;SIM;0
PE;BR-232;JABOATAO DOS GUARARAPES;2.0;1.0;QUINTA-FEIRA;5.0;1;11;09h-11h;MANHA;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
PR;BR-116;SAO JOSE DOS PINHAIS;2.0;1.0;QUINTA-FEIRA;5.0;1;13;12h-14h;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;MÚLTIPLA;"RETA;ACLIVE";NÃO;0
ES;BR-262;MARECHAL FLORIANO;2.0;1.0;QUINTA-FEIRA;5.0;1;13;12h-14h;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;"PONTE;DECLIVE;CURVA";NÃO;0
PE;BR-101;IGARASSU;2.0;1.0;QUINTA-FEIRA;5.0;1;13;12h-14h;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;MÚLTIPLA;RETA;SIM;0
RJ;BR-101;RIO DE JANEIRO;2.0;1.0;QUINTA-FEIRA;5.0;1;14;12h-14h;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"CURVA;PONTE";NÃO;0
CE;BR-222;TIANGUA;2.0;1.0;QUINTA-FEIRA;5.0;1;11;09h-11h;MANHA;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO LATERAL SENTIDO OPOSTO;SOL;SIMPLES;RETA;NÃO;0
MA;BR-135;MIRANDA DO NORTE;2.0;1.0;QUINTA-FEIRA;5.0;1;6;06h-08h;MANHA;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
RS;BR-287;MATA;2.0;1.0;QUINTA-FEIRA;5.0;1;14;12h-14h;TARDE;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-116;PINHEIRAL;2.0;1.0;QUINTA-FEIRA;5.0;1;14;12h-14h;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;NÃO;0
RS;BR-290;SAO SEPE;2.0;1.0;QUINTA-FEIRA;5.0;1;19;18h-20h;NOITE;ANOITECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
